pair_id,x,y,q,u,P,theta_deg,r_ap,snr_est,sigma_P_est,sigma_theta_deg_est
2,223.84807932196625,49.28898186589897,-0.0595428599485989,-0.13443393883747,0.1470300516296416,-56.94464489744692,5,5.915253186627482,0.16905447128800571,32.94163709199787
4,278.9169335822873,64.67893641073714,-0.0834756264997619,-0.0269049844822419,0.0877043807886324,-81.0676888007099,5,5.363904411747461,0.18643136104549232,60.90070354439638
5,212.7648546675352,72.87135417128842,-0.0040219871351924,0.0401663542731048,0.040367219325936,47.85907573081588,5,15.696077340913316,0.06371018556294986,45.217303714694
6,203.76005558027327,104.02104601508752,-0.0012038364538893,0.0070203100321684,0.0071227786119939,49.86519550653745,5,9.708927446665113,0.10299798875760335,414.2894983337527
7,204.25911633846127,112.59188219786556,-0.0032493265372876,0.0428365899035792,0.042959650342075,47.16890345755028,5,6.335024671806316,0.15785258176664185,105.27265542440743
8,71.2583193012277,127.08976092692734,0.029141755089756,0.0015521652580586,0.0291830619829319,1.5244202576265933,5,35.204826512050786,0.02840519607894375,27.886342705837563
9,22.973279398922937,127.49635218138252,-0.0086088124013617,0.094258643687188,0.0946509564701282,47.60922470233055,5,12.688384102559844,0.07881224211980255,23.85576248714357
10,177.8648485544969,130.77553320323466,-0.0101475423900363,-0.0007496343850062,0.010175193770576,-87.88751759896678,5,28.88555069603927,0.03461938498327186,97.47680507460176
11,315.70748888238023,142.77466266088055,-0.0163033452108526,0.0211118898379657,0.0266741627346507,63.83829227503516,5,12.204647023733651,0.08193600339734197,88.00525514843635
12,19.41210298548798,144.8790053484839,0.0283327015844159,0.314504027872879,0.3157776520391148,42.42614745763004,5,6.83753042934826,0.14625163431928126,13.269176258009503
13,353.3999546482896,183.02692894044125,0.0260850900675812,-0.008105815229884,0.0273154931197452,-8.631189383253448,5,25.306451345346183,0.039515615459213664,41.44616309665333
14,94.76147904394826,183.7577088575748,-0.0040717508699185,-0.3109665397498005,0.3109931960656228,-45.37508988740103,5,6.0543947662443065,0.1651692759737775,15.216087736048744
15,58.984998043042616,195.36316118407905,-0.0635453144637982,0.0903787732981141,0.11048225944999,62.55552610659598,5,5.705872318799022,0.17525804016071658,45.44750329691944
16,38.73740000385283,223.9128987920916,-0.0281955010120319,0.0282028152295488,0.0398796321972955,67.49628469589398,5,15.450604125315293,0.06472238832147241,46.49733017186494
17,315.403391295236,227.9056068130418,-0.029726103619262,0.0200037000223357,0.035830004897665,73.03102837937865,5,9.971845941251086,0.10028233547644823,80.18667370004957
18,112.11800845711086,237.57268811605664,0.1091489961082425,0.0325587427946121,0.1139016026393082,8.304823973750585,5,8.297715486998113,0.12051509859152482,30.31351179123459
19,110.66805392035847,261.99578847525487,0.0139282172077151,-0.0191548407737511,0.0236833941750977,-26.988833392778425,5,14.934967335867773,0.06695695929634898,80.99839362794732
20,198.43530511627725,273.4297647202993,0.0042338288469319,0.0214723808253492,0.0218858046462528,39.422877841864455,5,7.524871830861892,0.1328926289347125,173.96544840453907
21,317.4140839855377,278.21132363763263,-0.0417782508620534,0.1067142860795865,0.1146008773900466,55.690080279972754,5,9.2168605708763,0.10849681323810285,27.12399564526914
22,132.2178368454926,296.5368821061878,-0.061057546088067,0.0699243729773014,0.0928301775855524,65.56363408713227,5,6.151348771545058,0.16256597327496783,50.17242512582136
23,255.435702945476,307.8471452084548,0.3572440353727242,-0.2275184577266935,0.4235421459733629,-16.245944425294766,5,5.7371276692243205,0.17430325027701596,11.790534113104703
24,284.945442363332,324.74710493566766,-0.0310046123087982,0.0007491781062001,0.0310136623482892,89.30790309674572,5,8.832031121366034,0.11322423871229881,104.59501372904776
25,155.16460100956044,330.6192729387621,-0.0224932330617028,-0.2954973986899187,0.2963522535194846,-47.176477362450974,5,5.064471029055489,0.19745398764508235,19.088961460047305
26,237.74841874376835,331.0613266758326,-0.1193411063653595,0.0102902571196139,0.1197839265515028,87.53591349446076,5,9.784157955142389,0.10220603598027736,24.44570832778573
27,68.99287544430165,342.2500882255918,-0.4717440216737316,0.0291498047776925,0.4726437697711499,88.23204969344035,5,5.2896850907367545,0.18904717064371002,11.459373391433404
28,66.60786248450141,350.60776859067704,-0.0338642393791139,0.359407489221114,0.360999349053362,47.691327536440966,5,6.8586460257916,0.14580137190920034,11.57123777688897
29,153.06759376745896,354.13808656091726,-0.0720278264493155,0.3491241379770248,0.3564767474902303,50.82857102139671,5,3.992499145803844,0.2504696841453328,20.130223082672316
